epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
149,1053.53,1.73099,0.83297,1.54257,0.92877,1,0.98922,0.47609,1.80829,0.67443,1.6685,0.0010232,0.0010232,0.0010232
150,1060.97,1.72188,0.8264,1.55792,0.93298,0.99448,0.98679,0.46283,1.77444,0.69026,1.70897,0.0010166,0.0010166,0.0010166
151,1067.9,1.74173,0.82364,1.54702,0.93075,1,0.99033,0.53378,1.6622,0.65825,1.59192,0.00101,0.00101,0.00101
152,1074.76,1.72043,0.80577,1.54442,0.96544,0.99788,0.99017,0.49744,1.69826,0.70459,1.65218,0.0010034,0.0010034,0.0010034
153,1082.04,1.66189,0.80515,1.50383,0.933,0.99482,0.98515,0.51846,1.61759,0.7135,1.5857,0.0009968,0.0009968,0.0009968
154,1088.97,1.68486,0.81048,1.53037,0.93289,1,0.98107,0.47763,1.75854,0.68795,1.69079,0.0009902,0.0009902,0.0009902
155,1096.2,1.72075,0.81885,1.5524,0.96459,1,0.995,0.50757,1.66689,0.67448,1.59625,0.0009836,0.0009836,0.0009836
156,1102.87,1.69122,0.80458,1.51446,0.96132,1,0.99259,0.49036,1.7148,0.66537,1.65593,0.000977,0.000977,0.000977
157,1110.36,1.68706,0.80477,1.52595,0.93184,1,0.98922,0.47132,1.77699,0.69763,1.77199,0.0009704,0.0009704,0.0009704
158,1116.97,1.73066,0.82982,1.54294,0.92451,1,0.98922,0.49372,1.70184,0.66934,1.61719,0.0009638,0.0009638,0.0009638
159,1124.46,1.67404,0.80671,1.52508,0.95356,1,0.99259,0.51701,1.68309,0.62579,1.61026,0.0009572,0.0009572,0.0009572
160,1131.3,1.72682,0.80337,1.54807,0.92551,1,0.98922,0.47829,1.79637,0.64824,1.78031,0.0009506,0.0009506,0.0009506
161,1138.5,1.70966,0.80375,1.52704,0.96532,0.99424,0.99017,0.52091,1.69876,0.66082,1.58653,0.000944,0.000944,0.000944
162,1145.89,1.71653,0.79854,1.53951,0.96382,1,0.99397,0.45542,1.79415,0.70157,1.77042,0.0009374,0.0009374,0.0009374
163,1152.58,1.72967,0.83032,1.54714,0.96167,1,0.99397,0.52264,1.67682,0.74803,1.6293,0.0009308,0.0009308,0.0009308
164,1160.2,1.72973,0.81109,1.5613,0.98223,1,0.995,0.51698,1.71967,0.67549,1.67427,0.0009242,0.0009242,0.0009242
165,1166.78,1.73115,0.83736,1.54806,0.99542,1,0.995,0.47717,1.64565,0.6513,1.62954,0.0009176,0.0009176,0.0009176
166,1174.05,1.7159,0.82343,1.53574,0.96381,1,0.99155,0.44597,1.83711,0.73227,1.87421,0.000911,0.000911,0.000911
167,1180.75,1.68924,0.81399,1.54656,0.92769,1,0.98922,0.53258,1.6528,0.65001,1.61658,0.0009044,0.0009044,0.0009044
168,1188.24,1.69957,0.80082,1.55311,0.96072,1,0.98776,0.52177,1.79133,0.68982,1.67928,0.0008978,0.0008978,0.0008978
169,1195.01,1.67473,0.80841,1.49973,0.95117,1,0.99155,0.52446,1.61471,0.68609,1.55241,0.0008912,0.0008912,0.0008912
170,1202.17,1.66967,0.79569,1.51294,0.92695,1,0.98833,0.52079,1.69335,0.65522,1.59581,0.0008846,0.0008846,0.0008846
171,1209.4,1.67104,0.78878,1.51792,0.96034,1,0.99397,0.47893,1.74846,0.68232,1.75821,0.000878,0.000878,0.000878
172,1216.18,1.71662,0.80155,1.5193,0.93047,0.96429,0.95508,0.50414,1.64451,0.6135,1.62676,0.0008714,0.0008714,0.0008714
173,1223.59,1.6691,0.80016,1.51438,0.99214,1,0.995,0.50293,1.71419,0.66026,1.73785,0.0008648,0.0008648,0.0008648
174,1230.18,1.70518,0.80724,1.52958,0.96526,0.9926,0.99259,0.54423,1.64381,0.62299,1.61261,0.0008582,0.0008582,0.0008582
175,1237.51,1.6699,0.78267,1.51401,0.96522,0.99138,0.99259,0.53534,1.62952,0.66259,1.64314,0.0008516,0.0008516,0.0008516
176,1244.08,1.68233,0.81546,1.51584,0.96374,0.94967,0.99067,0.48531,1.75076,0.75129,1.67725,0.000845,0.000845,0.000845
177,1251.6,1.74437,0.81249,1.51546,0.96126,1,0.99397,0.50867,1.61805,0.67938,1.60381,0.0008384,0.0008384,0.0008384
178,1258.32,1.70592,0.80258,1.5068,0.96024,1,0.99259,0.48597,1.7831,0.68482,1.75253,0.0008318,0.0008318,0.0008318
179,1265.68,1.71489,0.80796,1.52291,1,0.99372,0.995,0.54016,1.61201,0.61192,1.59306,0.0008252,0.0008252,0.0008252
180,1272.56,1.69045,0.7913,1.51309,0.95969,1,0.99397,0.52573,1.64939,0.63588,1.58314,0.0008186,0.0008186,0.0008186
181,1279.55,1.68205,0.80199,1.51513,1,0.99479,0.995,0.52836,1.63006,0.66414,1.65897,0.000812,0.000812,0.000812
182,1287.08,1.70657,0.82244,1.53107,0.96543,0.99736,0.99259,0.49829,1.73434,0.68144,1.72846,0.0008054,0.0008054,0.0008054
183,1293.64,1.68152,0.80473,1.50431,0.96526,0.99244,0.99259,0.54448,1.66239,0.63064,1.58852,0.0007988,0.0007988,0.0007988
184,1301.09,1.65081,0.79979,1.49408,0.96544,0.99788,0.99259,0.51988,1.69471,0.63184,1.711,0.0007922,0.0007922,0.0007922
185,1307.94,1.63213,0.7874,1.50087,0.96376,1,0.99397,0.5139,1.68059,0.65682,1.58146,0.0007856,0.0007856,0.0007856
186,1315.32,1.66289,0.78145,1.50317,1,0.99634,0.995,0.48576,1.67808,0.62309,1.67533,0.000779,0.000779,0.000779
187,1322.15,1.64005,0.77481,1.51564,0.96551,0.99985,0.99397,0.53089,1.70312,0.642,1.59873,0.0007724,0.0007724,0.0007724
188,1329.37,1.63689,0.77218,1.4944,1,0.99214,0.995,0.54583,1.69091,0.62478,1.6422,0.0007658,0.0007658,0.0007658
189,1336.26,1.68344,0.7823,1.52232,0.99873,1,0.995,0.51265,1.68822,0.65166,1.64388,0.0007592,0.0007592,0.0007592
190,1343.26,1.64165,0.78444,1.49423,1,0.98377,0.995,0.55171,1.61901,0.63694,1.61259,0.0007526,0.0007526,0.0007526
191,1350.75,1.64787,0.77905,1.49059,0.9948,0.96429,0.99397,0.54243,1.67128,0.63641,1.69675,0.000746,0.000746,0.000746
192,1357.35,1.63908,0.7828,1.49438,1,0.99229,0.995,0.548,1.6195,0.63736,1.66348,0.0007394,0.0007394,0.0007394
193,1364.66,1.7106,0.79179,1.51498,0.96065,1,0.99017,0.51961,1.74969,0.69657,1.61079,0.0007328,0.0007328,0.0007328
194,1371.27,1.69379,0.8157,1.4824,0.92654,0.96429,0.98727,0.51739,1.70927,0.63355,1.6387,0.0007262,0.0007262,0.0007262
195,1378.62,1.67033,0.80459,1.5229,0.9609,1,0.99397,0.57256,1.57829,0.63714,1.56256,0.0007196,0.0007196,0.0007196
196,1385.31,1.69038,0.79483,1.49006,1,0.9964,0.995,0.52847,1.6479,0.63931,1.64271,0.000713,0.000713,0.000713
197,1392.66,1.6775,0.78967,1.51776,0.96527,0.9929,0.99397,0.50647,1.67479,0.65036,1.67725,0.0007064,0.0007064,0.0007064
198,1399.33,1.66743,0.80407,1.49781,0.96528,0.99303,0.99259,0.51642,1.57982,0.65922,1.59945,0.0006998,0.0006998,0.0006998
199,1406.5,1.67553,0.78899,1.52343,0.99411,1,0.995,0.48709,1.70385,0.66805,1.78628,0.0006932,0.0006932,0.0006932
200,1413.65,1.64057,0.78126,1.48485,0.96545,0.998,0.9619,0.51782,1.63194,0.65581,1.6166,0.0006866,0.0006866,0.0006866
201,1420.55,1.63228,0.76606,1.49285,0.96246,1,0.98052,0.54551,1.68111,0.62974,1.67243,0.00068,0.00068,0.00068
202,1427.83,1.62216,0.75633,1.45287,1,0.99356,0.995,0.54509,1.6153,0.64644,1.56024,0.0006734,0.0006734,0.0006734
203,1434.42,1.60974,0.77128,1.47095,0.9603,1,0.98052,0.5201,1.72041,0.65628,1.66518,0.0006668,0.0006668,0.0006668
204,1441.74,1.59928,0.76781,1.45811,0.96549,0.99925,0.99397,0.51831,1.75741,0.62531,1.71256,0.0006602,0.0006602,0.0006602
205,1448.39,1.63077,0.75702,1.48714,1,0.99257,0.995,0.54673,1.71797,0.61812,1.74648,0.0006536,0.0006536,0.0006536
206,1455.71,1.64975,0.77144,1.49418,1,0.99282,0.995,0.49919,1.84528,0.66401,1.87029,0.000647,0.000647,0.000647
207,1462.3,1.63139,0.76129,1.4731,0.9615,1,0.99397,0.5699,1.55353,0.61727,1.58098,0.0006404,0.0006404,0.0006404
208,1469.59,1.646,0.75715,1.47387,1,0.99812,0.995,0.5363,1.69897,0.62155,1.73567,0.0006338,0.0006338,0.0006338
209,1476.21,1.63724,0.76868,1.49528,0.99334,1,0.995,0.55212,1.64522,0.61724,1.58531,0.0006272,0.0006272,0.0006272
210,1483.42,1.63307,0.78095,1.45513,0.99704,1,0.995,0.54539,1.63394,0.64801,1.68834,0.0006206,0.0006206,0.0006206
211,1490.58,1.60181,0.76902,1.4755,0.95947,1,0.99259,0.53424,1.70365,0.66745,1.75617,0.000614,0.000614,0.000614
212,1497.36,1.68817,0.78529,1.51358,0.92198,1,0.99157,0.53736,1.57348,0.62381,1.56721,0.0006074,0.0006074,0.0006074
213,1504.56,1.62275,0.76728,1.46813,1,0.98748,0.995,0.5442,1.58472,0.6271,1.58504,0.0006008,0.0006008,0.0006008
214,1511.35,1.62017,0.76986,1.47592,1,0.99604,0.995,0.557,1.51617,0.63747,1.5829,0.0005942,0.0005942,0.0005942
215,1518.63,1.64509,0.76556,1.50242,1,0.95962,0.99397,0.53513,1.76789,0.63122,1.71575,0.0005876,0.0005876,0.0005876
216,1525.23,1.62675,0.74832,1.48902,1,0.9933,0.995,0.54694,1.62702,0.61155,1.58646,0.000581,0.000581,0.000581
217,1532.52,1.68021,0.7697,1.49403,1,0.99393,0.995,0.50004,1.80171,0.63207,1.73534,0.0005744,0.0005744,0.0005744
218,1539.14,1.67323,0.77381,1.4957,1,0.9967,0.995,0.52807,1.73255,0.62457,1.54534,0.0005678,0.0005678,0.0005678
219,1546.45,1.64968,0.7685,1.48066,0.96141,1,0.99397,0.48291,1.83488,0.6337,1.88151,0.0005612,0.0005612,0.0005612
220,1553.36,1.64781,0.76908,1.48881,0.96084,1,0.99259,0.56499,1.54283,0.615,1.50414,0.0005546,0.0005546,0.0005546
221,1560.28,1.69625,0.79263,1.50821,0.99652,1,0.995,0.5679,1.56012,0.62068,1.5514,0.000548,0.000548,0.000548
222,1567.6,1.65361,0.76562,1.50381,0.99274,0.96429,0.99397,0.48412,1.88397,0.66986,1.96085,0.0005414,0.0005414,0.0005414
223,1574.15,1.6226,0.76336,1.48145,0.96497,1,0.99397,0.5698,1.55412,0.62572,1.52165,0.0005348,0.0005348,0.0005348
224,1581.57,1.60148,0.76325,1.46836,0.93162,1,0.98922,0.49845,1.7873,0.63886,1.86033,0.0005282,0.0005282,0.0005282
225,1588.13,1.62269,0.76158,1.50014,0.99744,1,0.995,0.5669,1.66674,0.62095,1.58326,0.0005216,0.0005216,0.0005216
226,1595.87,1.61079,0.74748,1.46278,0.99615,1,0.995,0.55048,1.61619,0.61715,1.64163,0.000515,0.000515,0.000515
227,1602.47,1.6351,0.75152,1.49007,0.96195,1,0.99397,0.56549,1.63269,0.61319,1.59671,0.0005084,0.0005084,0.0005084
228,1609.95,1.59729,0.74515,1.44511,0.95757,1,0.99397,0.57394,1.63828,0.62623,1.5925,0.0005018,0.0005018,0.0005018
229,1616.84,1.62408,0.75169,1.43975,0.99652,1,0.995,0.50917,1.7172,0.63806,1.76005,0.0004952,0.0004952,0.0004952
230,1623.85,1.58914,0.75742,1.47,1,0.99823,0.995,0.56192,1.66182,0.63374,1.67284,0.0004886,0.0004886,0.0004886
231,1631.08,1.59105,0.75238,1.44944,0.99678,1,0.995,0.5506,1.62179,0.62058,1.57568,0.000482,0.000482,0.000482
232,1637.72,1.57293,0.74821,1.45318,0.96155,1,0.99397,0.53302,1.69425,0.60693,1.67029,0.0004754,0.0004754,0.0004754
233,1645.2,1.63722,0.76314,1.48174,0.9992,1,0.995,0.5514,1.61186,0.60888,1.66959,0.0004688,0.0004688,0.0004688
234,1651.72,1.58012,0.73849,1.44742,1,0.99673,0.995,0.54033,1.60343,0.63029,1.67588,0.0004622,0.0004622,0.0004622
235,1659.01,1.5855,0.75109,1.47294,0.96536,0.99554,0.99397,0.54991,1.53567,0.6018,1.61547,0.0004556,0.0004556,0.0004556
236,1665.59,1.60156,0.75523,1.4549,1,0.99429,0.995,0.53737,1.64045,0.60524,1.682,0.000449,0.000449,0.000449
237,1673.06,1.64387,0.75608,1.45577,0.99524,0.96429,0.99397,0.55089,1.66449,0.62223,1.59298,0.0004424,0.0004424,0.0004424
238,1679.69,1.56598,0.74917,1.43144,1,0.99747,0.995,0.53478,1.67697,0.60359,1.63212,0.0004358,0.0004358,0.0004358
239,1686.92,1.57151,0.73958,1.44543,0.93288,0.99294,0.98407,0.55271,1.57552,0.58723,1.55742,0.0004292,0.0004292,0.0004292
240,1693.88,1.59523,0.75645,1.45995,1,0.99592,0.995,0.51931,1.77625,0.61155,1.79776,0.0004226,0.0004226,0.0004226
241,1700.72,1.60393,0.75205,1.46374,1,0.98972,0.995,0.56811,1.61842,0.61464,1.54357,0.000416,0.000416,0.000416
242,1708.23,1.58647,0.74198,1.46234,1,0.99861,0.995,0.51016,1.74401,0.60502,1.79368,0.0004094,0.0004094,0.0004094
243,1714.83,1.62202,0.76285,1.44648,0.99602,1,0.995,0.50234,1.69433,0.61696,1.7536,0.0004028,0.0004028,0.0004028
244,1722.19,1.58843,0.73441,1.46465,0.96543,0.99736,0.99259,0.54038,1.56763,0.55769,1.57449,0.0003962,0.0003962,0.0003962
245,1728.78,1.61298,0.75288,1.4628,0.98895,0.96429,0.99397,0.50276,1.73701,0.60974,1.77296,0.0003896,0.0003896,0.0003896
246,1736.14,1.56083,0.73543,1.44459,1,0.99609,0.995,0.57348,1.51533,0.58024,1.55403,0.000383,0.000383,0.000383
247,1742.83,1.56758,0.74576,1.44107,0.99829,1,0.995,0.50123,1.73027,0.61032,1.81761,0.0003764,0.0003764,0.0003764
248,1750.13,1.5851,0.74522,1.4342,1,0.99791,0.995,0.51231,1.72939,0.6205,1.84933,0.0003698,0.0003698,0.0003698
249,1756.83,1.5887,0.73949,1.43705,1,0.99535,0.995,0.53919,1.58632,0.60542,1.57364,0.0003632,0.0003632,0.0003632
250,1763.95,1.57756,0.73607,1.4292,1,0.99647,0.995,0.51626,1.71885,0.63565,1.78743,0.0003566,0.0003566,0.0003566
251,1771.16,1.62733,0.75312,1.45959,1,0.99621,0.995,0.5305,1.67798,0.60211,1.6565,0.00035,0.00035,0.00035
252,1778.04,1.62921,0.76722,1.45801,0.99177,0.96429,0.99397,0.55543,1.56444,0.60215,1.52259,0.0003434,0.0003434,0.0003434
253,1785.34,1.58708,0.75388,1.45652,0.99193,0.96429,0.99397,0.49504,1.72667,0.61792,1.71098,0.0003368,0.0003368,0.0003368
254,1791.98,1.55895,0.72797,1.44705,1,0.99786,0.995,0.52364,1.62842,0.59602,1.52723,0.0003302,0.0003302,0.0003302
255,1799.4,1.60448,0.74623,1.44234,1,0.99227,0.995,0.4942,1.70073,0.6218,1.63034,0.0003236,0.0003236,0.0003236
256,1806.12,1.59533,0.74695,1.45512,1,0.99788,0.995,0.47178,1.80571,0.62791,1.92509,0.000317,0.000317,0.000317
257,1813.5,1.55576,0.72653,1.43954,1,0.99805,0.995,0.53436,1.6345,0.61261,1.63563,0.0003104,0.0003104,0.0003104
258,1820.06,1.55743,0.73921,1.4502,1,0.99565,0.995,0.54115,1.59186,0.60336,1.60746,0.0003038,0.0003038,0.0003038
259,1827.35,1.55009,0.73519,1.43807,0.99716,1,0.995,0.52814,1.6979,0.61874,1.71291,0.0002972,0.0002972,0.0002972
260,1834.26,1.58772,0.74342,1.42628,0.99594,1,0.995,0.54942,1.70549,0.60565,1.60334,0.0002906,0.0002906,0.0002906
261,1841.31,1.56195,0.7367,1.45599,1,0.99973,0.995,0.53405,1.66762,0.60195,1.7101,0.000284,0.000284,0.000284
262,1848.65,1.5856,0.73676,1.42837,0.99822,1,0.995,0.4867,1.79614,0.63526,1.89113,0.0002774,0.0002774,0.0002774
263,1855.18,1.54505,0.72527,1.40585,1,0.98996,0.995,0.51502,1.68859,0.59285,1.67158,0.0002708,0.0002708,0.0002708
264,1862.51,1.57964,0.7347,1.45349,1,0.99029,0.995,0.47933,1.79491,0.65058,1.85129,0.0002642,0.0002642,0.0002642
265,1869.26,1.57144,0.74613,1.43774,1,0.99427,0.995,0.52918,1.68651,0.59671,1.65271,0.0002576,0.0002576,0.0002576
266,1876.86,1.56357,0.73207,1.43133,1,0.99734,0.995,0.52564,1.60616,0.59987,1.68825,0.000251,0.000251,0.000251
267,1883.58,1.61792,0.74337,1.45227,0.9988,1,0.995,0.4968,1.75198,0.62507,1.87464,0.0002444,0.0002444,0.0002444
268,1890.83,1.54452,0.73125,1.44404,1,0.99983,0.995,0.53352,1.65048,0.57977,1.66703,0.0002378,0.0002378,0.0002378
269,1897.69,1.58335,0.73471,1.46248,1,0.99106,0.995,0.56696,1.58963,0.57305,1.61337,0.0002312,0.0002312,0.0002312
270,1904.77,1.58549,0.73694,1.43466,0.98728,0.96429,0.99397,0.51923,1.75822,0.61116,1.76866,0.0002246,0.0002246,0.0002246
271,1912.43,1.55879,0.74986,1.41319,1,0.99497,0.995,0.53674,1.7444,0.60699,1.65889,0.000218,0.000218,0.000218
272,1919.06,1.57947,0.73652,1.44372,1,0.98605,0.995,0.55779,1.61542,0.58966,1.6266,0.0002114,0.0002114,0.0002114
273,1926.41,1.56392,0.72921,1.42,0.99604,1,0.995,0.52763,1.6381,0.60942,1.69852,0.0002048,0.0002048,0.0002048
274,1932.95,1.51838,0.71645,1.40821,1,0.99543,0.995,0.52443,1.69812,0.57932,1.64939,0.0001982,0.0001982,0.0001982
275,1940.55,1.52274,0.70882,1.39799,0.99714,1,0.995,0.55257,1.61376,0.56972,1.59762,0.0001916,0.0001916,0.0001916
276,1947.23,1.58031,0.73267,1.43135,0.99539,1,0.995,0.55429,1.61897,0.565,1.67097,0.000185,0.000185,0.000185
277,1954.64,1.50623,0.70895,1.41809,1,0.99362,0.995,0.52903,1.72846,0.59498,1.79422,0.0001784,0.0001784,0.0001784
278,1961.58,1.50021,0.71007,1.42362,1,0.95495,0.99397,0.5876,1.60895,0.57743,1.59927,0.0001718,0.0001718,0.0001718
279,1969,1.53279,0.72038,1.4106,1,0.95694,0.99397,0.55881,1.6346,0.56933,1.61661,0.0001652,0.0001652,0.0001652
280,1976.47,1.53886,0.71696,1.42185,0.96535,0.99502,0.99397,0.55959,1.63783,0.57219,1.62936,0.0001586,0.0001586,0.0001586
281,1983.08,1.5049,0.70761,1.39858,0.96523,0.99165,0.99397,0.56378,1.6459,0.5769,1.61404,0.000152,0.000152,0.000152
282,1990.45,1.51194,0.72094,1.39767,0.96537,0.9957,0.99397,0.55926,1.67391,0.58992,1.70025,0.0001454,0.0001454,0.0001454
283,1997.08,1.52413,0.70319,1.38933,0.96516,0.98975,0.99397,0.54506,1.65849,0.60715,1.72445,0.0001388,0.0001388,0.0001388
284,2004.85,1.53718,0.71836,1.39723,1,0.9925,0.995,0.54241,1.64872,0.57892,1.65897,0.0001322,0.0001322,0.0001322
285,2011.48,1.51252,0.70592,1.39759,0.99689,0.96429,0.99397,0.52979,1.70083,0.59358,1.7447,0.0001256,0.0001256,0.0001256
286,2018.94,1.53242,0.71161,1.40644,1,0.99321,0.995,0.50739,1.75519,0.6082,1.85245,0.000119,0.000119,0.000119
287,2025.7,1.50819,0.71196,1.40265,1,0.98899,0.995,0.55586,1.653,0.59315,1.70091,0.0001124,0.0001124,0.0001124
288,2032.94,1.53004,0.70923,1.4391,1,0.98799,0.995,0.56139,1.62589,0.59277,1.68137,0.0001058,0.0001058,0.0001058
289,2040.4,1.52494,0.70877,1.42533,0.99956,1,0.995,0.5355,1.65364,0.59737,1.73053,9.92e-05,9.92e-05,9.92e-05
290,2047.13,1.50722,0.71607,1.41925,1,0.99894,0.995,0.53735,1.66369,0.59522,1.72617,9.26e-05,9.26e-05,9.26e-05
291,2056.51,1.46478,0.68187,1.44399,1,0.99675,0.995,0.56172,1.65927,0.59108,1.70601,8.6e-05,8.6e-05,8.6e-05
292,2063.21,1.48699,0.68306,1.45504,1,0.99831,0.995,0.53475,1.66785,0.59507,1.72516,7.94e-05,7.94e-05,7.94e-05
293,2070.46,1.45294,0.68201,1.46769,1,0.99858,0.995,0.54891,1.67894,0.57602,1.72795,7.28e-05,7.28e-05,7.28e-05
294,2077.14,1.4595,0.66415,1.44192,1,0.99507,0.995,0.58506,1.66764,0.56727,1.68477,6.62e-05,6.62e-05,6.62e-05
295,2084.22,1.45639,0.67896,1.45681,1,0.99615,0.995,0.59118,1.65593,0.59557,1.69511,5.96e-05,5.96e-05,5.96e-05
296,2091.36,1.46744,0.67213,1.43893,1,0.99405,0.995,0.57363,1.68861,0.58741,1.74328,5.3e-05,5.3e-05,5.3e-05
297,2098.06,1.4645,0.66349,1.42587,1,0.99684,0.995,0.5562,1.68876,0.59861,1.75194,4.64e-05,4.64e-05,4.64e-05
298,2105.28,1.46611,0.67368,1.44795,1,0.99661,0.995,0.56074,1.68852,0.58197,1.74844,3.98e-05,3.98e-05,3.98e-05
299,2111.79,1.46197,0.66522,1.43196,1,0.99502,0.995,0.56423,1.67854,0.59352,1.73314,3.32e-05,3.32e-05,3.32e-05
300,2119.03,1.47121,0.66651,1.44713,1,0.99465,0.995,0.55556,1.6749,0.59783,1.73689,2.66e-05,2.66e-05,2.66e-05
